, Title,Artist(s),Genre,Album,Date Released,Length of Track,Language,Country of Origin (artist(s)),Rating,Review,Race of Artist(s) ,Gender of Artist(s)
53,Wicked Games,The Weeknd,Alternative RnB,Trilogy,"March 5, 2011",5:24,English,Canada,6.4/10,Better than some of his other tracks. ,Black,Male
54,Black Beauty,Lana Del Rey,Baroque Pop & Dream Pop,Ultraviolence (Deluxe),"June 13, 2014",5:15,English,United States,5.0/10,"I guess this type of music does it for someone, that someone is just not me unfortunately.",White,Female
55,Salvatore,Lana Del Rey,Baroque Pop & Experimental Pop,Honeymoon,"September 18, 2015",4:41,English,United States,4.3/10,Didn't like it but it wasn't horrible,White,Female
56,Pretty When You Cry,Lana Del Rey,Ambient & Acoustic,Ultraviolence,"June 13, 2014",3:54,English,United States,4.5/10,"This music is just boring, even if I wanted music thats just on some chill vibes why wouldn't I listen to some chill Salsa or even the song right after this one on the playlist. Nothing is drawing me in with this. ",White,Female
57,Wine Pon You (feat. Konshens),Doja Cat & Konshens,Dancehall & RnB,Amala,"March 30, 2018",3:39,Patois & English,Jamaica & United States,7.0/10,Just a pleasant song you could have in the background while you're studying or something. ,Mixed & Black,Female & Male
58,Devil's Advocate,The Neighbourhood,Alternative Rock & Indie Pop,Chip Chrome & The Mono-Tones,"August 21, 2020",3:06,English,United States,5.5/10,"For it's genre, it's alright not pushing any crazy boundaries but also not sonically interesting enough for me to rate it more than a 6",White,Male & Male & Male & Male & Male & Male
59,Trance (with Travis Scott & Young Thug),Metro Boomin & Travis Scott & Young Thug,Trap & Hip Hop,HEROES & VILLAINS,"December 2, 2022",3:15,English,United States,6.7/10,"A song where if it was on in the background I would not be annoyed because it is nice, but not something I would actively look for. ",Black,Male & Male & Male
60,Sad Girl,Lana Del Rey,Trip Hop & Baroque Pop,Ultraviolence,"June 13, 2014",5:18,English,United States,6.5/10,One of her better songs. Something above average,White,Female
61,TBH,PARTYNEXTDOOR,Alternative RnB,PARTYNEXTDOOR,"July 1, 2013",2:03,English,United States,7.0/10,What I love about him is that he seems to know exactly how long to make his songs. And that's not to say songs can't be long because there are a lot of artists who make longer songs that I enjoy but his never feel like a chore to get through it. ,Black,Male
62,Dreamin,PARTYNEXTDOOR,Alternative RnB,Dreamin,"March 8, 2015",2:27,English,United States,6.45/10,Chill calm song. Not spectacular but just a lil vibe,Black,Male
63,Recognize (feat. Drake),PARTYNEXTDOOR & Drake,RnB & Hip Hop,PARTYNEXTDOOR TWO,"July 14, 2014",5:11,English,United States & Canada,6.75/10,Early Drake actually had a decent rap voice idk what happened. But this song was solid. ,Mixed & Black,Male & Male
64,Odio (feat. Drake),Romeo Santos & Drake,Bachata & RnB,"Fórmula, Vol. 2 (Deluxe Edition)","January 27, 2014",3:45,Spanish & English,Domincan Republic & Canada,5.98/10,"I liked Drake on this song when he was speaking English, his Spanish sounded awkward but not horrible. Not a bad song.",Mixed & Black,Male & Male
65,El Jefe,Shakira & Fuerza Regida,Corrido Tumbado & Regional Mexicano,El Jefe,"September 20, 2023",2:50,Spanish,Mexico & Colombia,8.9/10,I really like the bump of this song and this person has a really smoky edge to their voice that is pleasant. Shakira will usually be solid but overall great song,White & Mixed,Female & Male & Male & Male & Male
66,Las de la Intuición,Shakira,Pop Rock & Latin Pop,"Fijiación Oral, Vol. 1","May 13, 2007",3:41,Spanish,Colombia,7.3/10,"I know I'm probably not saying anything that hasn't already been said, but sometimes when she is singing it sounds like she has her chin to her chest trying to hold something. Not even a knock to the song it is just something unusual to note. ",Mixed,Female
67,Hold Tight,Justin Bieber,RnB,Journals,"October 21, 2013",4:14,English,Canada,8.0/10,"Its probably the best solely RnB track I have heard so far, this is fire. ",White,Male
68,"Te Aviso, Te Anuncio (Tango)",Shakira,Tango & Pop Rock,Laundry Service,"November 13, 2001",3:43,Spanish,Colombia,9.43/10,Immediately I am intrigued by the beat and instrumentation. This is an interesting combination of genres I personally haven't heard before and it is quite enjoyable. ,Mixed,Female
69,Necio (feat. Carlos Santana),Romeo Santos & Carlos Santana,Bachata & Latin Rock,"Fórmula, Vol. 2 (Deluxe Edition)","February 25, 2014",4:24,Spanish,Mexico & Dominican Republic,5.2/10,"Pretty regular bachata track, not bad not great. ",Mixed & Black,Male & Male
70,"Shakira: BZRP Music Sessions, Vol. 53",Bizarrap & Shakira,Latin Pop & Electropop,"Shakira: BZRP Music Sessions, Vol.53","January 11, 2023",3:35,Spanish,Argetina & Colombia,9.8/10,Her best song IMO including all of her popular tracks,White & Mixed,Male & Female
71,Art Deco,Lana Del Rey,Dream Pop & Ambient,Honeymoon,"September 18, 2015",4:55,English,United States,6.5/10,This was pretty decent actually.,White,Female
